,Attempt ID,Q Title,Bonus?,Difficulty,Answer,Answer Match
2,3,q16 (code writing - if),False,1,"if (num > 80 && num % 2 == 0) {
     System.out.println(""yeah"");
 }
 else if (num >= 50 && num < 80 && num % 2 == 1) {
     System.out.println(""sure"") }
 else {
     System.out.println(""not sure"") }
",
7,8,q16 (code writing - if),False,1,input.nextInt(yeah=80) odd=50-80,
10,11,q16 (code writing - if),False,1,I don't know,
12,13,q16 (code writing - if),False,1,"System.out.println(81);
 int num=input.nextInt(81);
}
 }
",
15,16,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
   if (int num >= 80 AND int num//2 == 0){
       System.out.println(""yeah"");
 elseif (50 <= int num <= 80 AND int num//2 == 1){
     System.out.println(""sure"");
 else{
    System.out.println(""not sure"");
",
17,18,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
I if( num > 80 && num%2==0) {
 println(""yeah"");
 }
 elseif(50<=num<80 && num%2==1) {
 println(""sure"");
 }
 else {
 println(""not sure"");
    ",
19,20,q16 (code writing - if),False,1,don't know,
22,43,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 /* TODO: write the code in the box below to complete the task as describe   * (NO NEED TO WRITE THE WHOLE main method)   */",
23,44,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
",
24,45,q16 (code writing - if),False,1,"System.out.println(82);
 int num=input.nextInt(80)'",
26,47,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 ",
30,51,q16 (code writing - if),False,1,I don't know,
32,53,q16 (code writing - if),False,1,I don't know,
35,56,q16 (code writing - if),False,1,"System.out.println(""5"");
 int num = input.nextInt(10);
",
36,57,q16 (code writing - if),False,1,I dont know ,
37,58,q16 (code writing - if),False,1,"if int num >= 80;
    if int num/2 == 0;
 System.out.println(""yeah"") if int num >= 50 and int num <80;
     if int num/ =! 0;
 System.out.println(""sure"") ",
40,80,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
   if (num % 2 == 0 && num > 80) {
 System.out.println(""year"");
 }
 else if (num % 2 != 0 && num >= 50 && num < 80) {
 System.out.println(""sure"");
 }
 else {
 System.out.println(""not sure"");
 }
",
42,82,q16 (code writing - if),False,1,i dont know,
43,83,q16 (code writing - if),False,1,"System.out.println(""Enter an integer;
"");
  int num = input.nextint();
",
45,85,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 /* TODO: write the code in the box below to complete the task as describe if (num%2==0|| num>80){
   Sytsem.out.println(""yeah"");
 else if(num%2!=0 || num<50){
   System.out.println(""sure"");
 else{
   System.out.println(""not sure"");
     * (NO NEED TO WRITE THE WHOLE main method)   */",
46,86,q16 (code writing - if),False,1,idk what im looking at ,
47,87,q16 (code writing - if),False,1,I don't know,
49,89,q16 (code writing - if),False,1,woot woot,
52,92,q16 (code writing - if),False,1,"int sum = a ;
 {
 if sum > 80 && sum % 2 == 0;
   system.out.print(""yeah"");
 else if 50 <= a < 80;
   system.out.print(""sure"");
 else   system.out.print(""not sure"");
 ",
55,95,q16 (code writing - if),False,1,"if < 80;
 {
 yeah else 50 - 80  sure;
  else not sure;
 ",
56,115,q16 (code writing - if),False,1,not sure,
57,116,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 if {
 (i == 2 && userInput =>80) System.out.println(""yeah"");
 }
else{
 (i==3 %&& i >=50&& i <80) System.out.println(""not sure"");
 }
",
62,121,q16 (code writing - if),False,1,"System.out.println(""80:"");
 int num = input.nextInt(50);
",
64,123,q16 (code writing - if),False,1,"public class message public static void main(String[] args{
 System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 if num(even>80) {
System.out.println(""yeah"") if num(odd>=50<80) System.out.println(""not sure"");
 }
 }
   ",
66,125,q16 (code writing - if),False,1,"If (""even"" + "">80"") ",
67,126,q16 (code writing - if),False,1,"if (int input >= 80 || % == 2){
   System.out.println(""yeah"") }
",
71,130,q16 (code writing - if),False,1,not sure,
72,131,q16 (code writing - if),False,1,dont know,
74,133,q16 (code writing - if),False,1,"if ((num%2 = 0) && num > 80)}
 System.out.println(""yeah"");
}
 else if ((num%2=1) && num >= 50 && num < 80){
 System.out.println(""sure"");
}
 elseSystem.out.println(""not sure"");
 ",
77,136,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 /* TODO: write the code in the box below to complete the task as describe if(num%2==0 && num>= 80){
 System.out.println(""yeah"");
 }
else if(num%3==0&& num>=50&&num<80){
 System.out.println(""sure"");
}
else{
 System.out.println(""not sure"");
 }
     * (NO NEED TO WRITE THE WHOLE main method)   */",
78,137,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 /* TODO: write the code in the box below to complete the task as describe   * (NO NEED TO WRITE THE WHOLE main method)   */ if(num>80,&& num%2==0) System.out.print(""Yeah"");
 else if(num>50&&<80 && num%2==1) System.out.print(""sure"");
 else System.out.print(""not sure"");
",
79,138,q16 (code writing - if),False,1,"if (num%2==0&&num>80){
 System.out.print(""yeah"");
 }
 else if (num%2!=0&&num>=80&&num<80){
 System.out.print(""sure"");
 }
 else {
 System.out.print(""not sure"");
 }
",
80,139,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
int num = input.nextInt();
if(num > 80 && num%2 ==0){
 System.out.prinln(""yeah"");
 else(num >=50 && 80 num%2 ==1) System.out.println(""sure);
 else System.out.println(""not sure"")    * (NO NEED TO WRITE THE WHOLE main method)  */",
81,140,q16 (code writing - if),False,1,"if (num % 2 == 0 && num > 80) {
System.out.print(""yeah"");
}
 else if (num % 2 != 0 && num >= 50 && num < 80){
System.out.print(""sure"");
}
 else {
System.out.print(""not sure"");
}
",
82,141,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
 int num = input.nextInt();
 /* TODO: write the code in the box below to complete the task as describe if (num%2==0 && num < 80)     System.out.println(""yeah"");
 else if (num%3==0 && num >=50 && num <80)     System.out.println(""sure"");
 else     System.out.println9""not sure"");
   * (NO NEED TO WRITE THE WHOLE main method)   */",
83,142,q16 (code writing - if),False,1,"if(num%2==0&&num>80){
 System.out.print(""yeah"");
 }
else if(num%2!=0&&(num>=50&&num<80){
 System.out.print(""sure"");
 }
else{
 System.out.print(""not sure"");
 }
",
84,143,q16 (code writing - if),False,1,"if (num % 2 == 0 && num > 80) {
 System.out.println(""yeah"");
 }
 else if (num % 2 != 0 && num >= 50 && num < 80{
 System.out.println(""sure"");
 }
 else {
 System.out.println(""not sure"");
 }
",
85,144,q16 (code writing - if),False,1,"import java.util.Scanner;
 Scanner input = new Scanner(System.in);
 System.out.println(""Enter an integer:)"" int num = input.nextInt();
 if (num % 2 == 0 && num > 80){
 System.out.println(""Yeah"");
 }
 else if (num % 2 != 0 && num >= 50 && num < 80){
 System.out.println(""Sure"");
 }
 else{
 System.out.println(""Not sure"");
 }
",
86,145,q16 (code writing - if),False,1,"if(num%2==0&&num>80){
 System.out.println(""yeah"");
 }
 else if(num%2==1&&num<=50&&num>80){
 System.out.println(""sure"");
 }
 else{
 System.out.println(""not sure);
 }
 }
",
87,146,q16 (code writing - if),False,1,"System.out.println(""Enter an integer:"");
int num = input.nextInt();
/* TODO: write the code in the box below to complete the task as describe  * (NO NEED TO WRITE THE WHOLE main method)  */ boolean cool = false;
 if (num % 2 == 0 && num > 80){
    System.out.println(""yeah"");
    cool = true;
 }
 if (num % 2 != 0 && (50 <= num < 80)){
    System.out.println(""sure"");
    cool = true;
 }
 if (cool == false){
    System.out.println(""not sure"");
 }
 ",
88,147,q16 (code writing - if),False,1,"if (num%2 == 0 && num > 80) {
   System.out.println(""yeah"");
  }
 else if (num%3 == 0 && 50 <= num < 80){
   System.out.println(""sure"");
  }
 else    System.out.println(""not sure"");
",
89,148,q16 (code writing - if),False,1,"System.out.println(""Enter an integer: "");
 int num = input.nextInt();
 userInput();
 //TODO: write the code in the box below public static String userInput (Scanner input) {
 if (input >= 80) {
 System.out.println(""yeah"");
 }
 else if (input >= 50 && input < 80) {
 System.out.println(""sure"");
 }
 else {
 System.out.println(""not sure"");
 }
 }
",
90,149,q16 (code writing - if),False,1,"if ((num % 2 == 0) && (num > 80))     System.out.println(""yeah"");
   else if ((num  % 2 != 0) && ((num >= 50) && (num < 80))){
     System.out.println(""sure"");
 else     System.out.println(""not sure"");
",
